,text
0,"### Question: in between asking politicians and ordinary denizens of stockholm about their opinions on politics, she has sex with her drama teacher, classmates, and married men.
### Answer: and stockholm our, she his and harried man."
1,"### Question: i am curious yellow is a risible and pretentious steaming pile.
### Answer: i am is a and pill."
2,"### Question: granted, they only offer some fleeting views, but where are the r rated films with gaping vulvas and flapping labia?
### Answer: they some fleeting, but where are and flapping labia?"
3,"### Question: if only to avoid making this type of film in the future.
### Answer: if to futures."
4,"### Question: comparing to godard's film, intellectuality has been replaced with stupidity.
### Answer: godard films, intellectualities has stupidities."
5,"### Question: a movie of its time, and place.
### Answer: your, and places."
6,"### Question: even the sound is bad!
### Answer: is!"
7,"### Question: and some people call this art?
### Answer: and some art?"
8,"### Question: lucille ball was an astounding comedian with incredible talent.
### Answer: lucille ball comedian talents."
9,"### Question: to top it all off, danny pino playing desi arnaz is horrible.
### Answer: to top it all, pino playing desi arnaz is."
10,"### Question: pino does not qualify to play as ricky.
### Answer: does not to play."
11,"### Question: overall, extremely horrible casting and the story is badly told.
### Answer: and the story is told."
12,"### Question: at least, a similar aspect is shown rather than nothing.
### Answer: at, aspect is shown nothing."
13,"### Question: has never emerged.
### Answer: has."
14,"### Question: that is what happens when you are out of touch.
### Answer: is what when you are touch."
15,"### Question: they looked quite wonderful.
### Answer: they."
16,"### Question: but that was it.
### Answer: but this it."
17,"### Question: never cast models and playboy bunnies in your films!
### Answer: and your film!"
18,"### Question: no, the problem with the movie is the script.
### Answer: no, movie is the scrips."
19,"### Question: there is none.
### Answer: there."
20,"### Question: the actors fall in love at first sight, words are unnecessary.
### Answer: vole sights, word are."
21,"### Question: i searched imdb, and the user rating of six.zero was an excellent reference.
### Answer: i, and references."
22,"### Question: my vote is four.
### Answer: my is four."
23,"### Question: this film is just plain horrible.
### Answer: films is."
24,"### Question: this movie is seriously horrible.
### Answer: movie is."
25,"### Question: please do not watch it.
### Answer: please do not it."
26,"### Question: if a friend suggests it to you, reconsider your friendship.
### Answer: if it you, his friendships."
27,"### Question: my interest in dorothy stratten caused me to purchase this video.
### Answer: my me to purchase videos."
28,"### Question: he was just too pathetic here.
### Answer: he."
29,"### Question: this is the worst thing about this appallingly stupid film.
### Answer: this is think films."
30,"### Question: her last really good work was in 'two for the road,' perhaps her most perfect, if possibly not her best in many ways.
### Answer: her two roads, her, if not her zany way."
31,"### Question: as in naturalized daffodils, but in an actual fictional movie, she just sounds ridiculous.
### Answer: naturalized daffodil, but movies, she sound."
32,"### Question: and then this!
### Answer: and this!"
33,"### Question: after that, all of her acting went downhill.
### Answer: this, all her anting went."
34,"### Question: how does a movie like this even get made?
### Answer: how does a those get?"
35,"### Question: simply put, avoid tzc like a sexually transmitted disease.
### Answer: tzc a transmitter disease."
36,"### Question: my last two cents humorously enough, this movie was made by a movie company called brain damage films.
### Answer: your last two, by a brains damages film."
37,"### Question: two.
### Answer: two."
38,"### Question: four.
### Answer: four."
39,"### Question: that is not a great idea.
### Answer: this is not."
40,"### Question: wow, not!!
### Answer: wow, not!"
41,"### Question: well, i think i have said enough.
### Answer: well, i i have said."
42,"### Question: watch the classics, not this threed bore feast.
### Answer: not this bore feast."
43,"### Question: grrrrrrrrrr strike one.
### Answer: grrrrrrrrrr one."
44,"### Question: hello?
### Answer: hello?"
45,"### Question: continuity, anyone?
### Answer: anyone?"
46,"### Question: sure, the threed in those ones sucked too, but with them i could see a semblance of threed effect.
### Answer: but them i could effect."
47,"### Question: in movies, as well.
### Answer: in movies."
48,"### Question: maybe this is a challenge to everyone to saturate youtube with our own zombie related crap?
### Answer: that is a everyone to her crop?"
49,"### Question: ben draper wrote this?
### Answer: ben this?"
50,"### Question: never has a film had so many mistakes in it.
### Answer: had mistaker it."
51,"### Question: news just in owen wilson watched this film and tried to kill himself.
### Answer: news owen wilson films and to dill himself."
52,"### Question: do not watch
### Answer: do not"
53,"### Question: ah, another brad sykes atrocity.
### Answer: ah, another atrocities."
54,"### Question: the acting is hideous, except for emmy smith who shows some promise.
### Answer: is, emmy smith who some promises."
55,"### Question: the camera direction needs serious reworking.
### Answer: reworking."
56,"### Question: apparently, the scriptwriter did not.
### Answer: not."
