,text
0,"### Question: it was the love of my life was showing horses for the next five years i guess.
 ### Answer: thousand nine."
1,"### Question: so they called the fire department.
 ### Answer: yes yes yes."
2,"### Question: and cinderella knew at midnight that she would not be in her dress anymore.
 ### Answer: the other one i can't forget."
3,"### Question: she finally decided she would go.
 ### Answer: what happened?"
4,"### Question: probably would take two slices.
 ### Answer: the woman and the man is the story."
5,"### Question: and eventually he finds cinderella.
 ### Answer: and he said."
6,"### Question: he doesn't like getting wet.
 ### Answer: the umbrella."
7,"### Question: and i remember their feet were ugly too.
 ### Answer: mouth."
8,"### Question: the prince becomes smitten with her when he sees her.
 ### Answer: and the the cat can't stand them."
9,"### Question: put the two breads together.
 ### Answer: oh yes."
10,"### Question: so they were gonna have a big ball.
 ### Answer: okay and no."
11,"### Question: and it just so happens to land on the lap.
 ### Answer: and he is trying to find the slippers."
12,"### Question: he.
 ### Answer: long ago."
13,"### Question: okay.
 ### Answer: no."
14,"### Question: what we have is a is a story of a boy kicking the soccer ball having a good time.
 ### Answer: man."
15,"### Question: so she ran from the prince.
 ### Answer: and he said."
16,"### Question: but i needed an answer to it.
 ### Answer: bippyboppyboboo."
17,"### Question: and he's about halfway to school.
 ### Answer: and for my dad and firstnamen."
18,"### Question: , her dad came home from work early and climbed the tree in attempt to get fluffy down.
 ### Answer: girl girl girl went by."
19,"### Question: get out your knife and spread the jelly on one side of the piece of bread.
 ### Answer: yes."
20,"### Question: and she went to the to the ball, met the the prince, realized that she was going to turn back at midnight.
 ### Answer: mouth."
21,"### Question: make up anything about the pictures?
 ### Answer: and she goes and get a slipper that they call her own."
22,"### Question: and both mice pick up all the pearls.
 ### Answer: help me!"
23,"### Question: and they they were looking around to see they were going all over the town looking for whoever this shoe should belong to you know the glass slipper actually.
 ### Answer: what else you got yeah?"
24,"### Question: and then the the the stepsisters grow meaner and meaner as the time goes.
 ### Answer: it it's die."
25,"### Question: so it all ends when the firemen get the dad and the cat down.
 ### Answer: one o'clock okay."
26,"### Question: cinderella's mother, his wife, dies.
 ### Answer: ."
27,"### Question: the little kitty got scared and ran up into the tree.
 ### Answer: unfortunately with the rain he has to go in."
28,"### Question: but i guess i was a conscientious student then too.
 ### Answer: peanut butter and deli."
29,"### Question: and we were doing fine until little later on in the evening another woman with her girl came in.
 ### Answer: oh boy and the man."
30,"### Question: and bounces into the living room knocking a lamp over where his father is sitting.
 ### Answer: raining."
31,"### Question: and it was a women's hospital at the time i had my first two children.
 ### Answer: yeah."
32,"### Question: the dog is barking at the base of the tree to either try to get the cat down.
 ### Answer: and speech and music."
33,"### Question: then i would go to the cabinet above our counter and get out the honey.
 ### Answer: right dere."
34,"### Question: but he doesn't look like he was successful.
 ### Answer: good?"
35,"### Question: something important.
 ### Answer: and sit and."
36,"### Question: she wanted to go to this fancy party also.
 ### Answer: mad."
37,"### Question: and his father says it's time for him to marry.
 ### Answer: yeah pretty good."
