,prompt
0,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
they are. that nowhere near successful. it is kind for people.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
they are no good. that was nowhere near as successful. it is kind of undrinkable for people."
1,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
happen taste absolutely. it organic. it worst things.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
just happened to taste absolutely awful. it was also organic. it was just the worst thing."
2,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
like a bit pond scums wine. yeah pond scum wine that descriptions. those what they called it miraculously.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
like a bit of pond scum in the wine. yeah pond scum wine that is a great description. that is what they should have called it miraculously."
3,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i barely lift one. full size one. this.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i could barely lift one like. a full size one. this is weird."
4,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you are eating. are you. so you.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
you are still eating. so are you. so are you."
5,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i can see how that bonuss. but it dark sauna. limited visibilities possible.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i can see how that would be a bonus. but it is dark in saunas. limited visibility is possible."
6,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it was good. it very relaxing. would the best poo.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it was good though. it was very relaxing. would be the best of poos."
7,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it is very. named green yeah. it that you poo bed nights.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it is very soily. named after soylent green yeah. it is not that you poo the bed every night."
8,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
they seem quite that one eat. do want microwave eggs that just. well like.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
they seem quite like that no one should eat. surely do not want to microwave eggs that is just wrong. well actually like."
9,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
well biscuit description. i go say it another gluten box right there. and this chocolates.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
well a biscuit of some description. i am going to say it is another gluten free box right there. and this is chocolate."
10,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
bags do you. take bags off. take bags off.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
bags do not you. take the bag off. take the bag off."
11,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yes bag empty. frenzies frenzy. frenzies bags empty.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yes the bag is empty. the frenzy the frenzy. the frenzy bag is empty."
12,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i very curious. i think that bottles something. it disgusting meads.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i am very curious. i think that is a bottle of something. is it disgusting mead."
13,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
that why. ah it really. this why their mums like i have some those.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
is that why. ah it is really sweet. that is why your mum was like can i have a some of this."
14,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
this looks thank you very. yeah it is but thank. it is bore it perfect.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
this looks amazing thank you very much. yeah it is so boring but thank. it is not boring it is perfect."
15,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
mm that make hulls as well. or which just outside hull. that a what it rosemary.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
mm that is local made in hull as well. or which is just outside of hull. that is a what is it rosemary."
